"","GAGE_ID","COMID","startDT","endDT"
"1","USGS-01409000","9453855","1985-03-04","2014-03-04"
"2","USGS-01409280","166248246","1988-03-28","2017-05-15"
"3","USGS-01410150","9454631","1988-04-13","2020-07-25"
"4","USGS-02178400","6267840","2000-11-23","2020-11-23"
"5","USGS-02229000","18260281","1988-06-02","2021-11-09"
"6","USGS-02247222","16683929","1988-07-08","2021-02-28"
"7","USGS-02247510","16687209","1985-06-30","2019-03-22"
"8","USGS-02314500","1997544","1984-07-13","2021-07-01"
"9","USGS-02315000","1997572","1984-02-26","2021-07-01"
"10","USGS-02315500","166743978","1984-07-13","2021-08-12"
"11","USGS-02315550","166743979","1984-02-26","2021-08-12"
"12","USGS-02327033","10319918","1989-04-15","2021-12-20"
"13","USGS-02327100","10365698","1988-05-25","2021-08-11"
"14","USGS-02330400","2077651","1984-11-07","2021-11-30"
"15","USGS-02366996","476177","1990-01-22","2021-07-31"
"16","USGS-02367310","476941","1986-03-24","2021-08-20"
"17","USGS-03206600","3964810","1984-11-07","2011-12-05"
"18","USGS-06036905","3061602","1996-07-17","2016-07-17"
"19","USGS-06037100","3060622","1996-07-17","2016-07-17"
"20","USGS-06037500","3059764","1996-07-17","2016-07-17"
"21","USGS-06038500","3057956","1993-08-20","2017-06-27"
"22","USGS-06038800","3059646","1990-08-11","2017-06-27"
"23","USGS-06092500","12538790","1997-07-18","2021-09-09"
"24","USGS-06186500","2965742","1984-08-06","2021-08-25"
"25","USGS-06188000","2965578","1991-08-11","2016-08-15"
"26","USGS-06191500","4369760","1984-08-06","2021-08-25"
"27","USGS-06192500","4366016","1984-08-06","2021-08-25"
"28","USGS-07165500","372621","1996-01-01","2021-04-12"
"29","USGS-07174600","21785274","1986-04-26","2021-05-06"
"30","USGS-07176500","847886","1986-04-26","2021-05-06"
"31","USGS-07176950","847956","1991-03-04","2021-05-06"
"32","USGS-07177000","848703","1990-01-01","2021-08-05"
"33","USGS-07207500","20058852","1988-05-10","2012-06-08"
"34","USGS-07329780","19959914","1990-09-20","2016-02-16"
"35","USGS-08294195","17866812","1993-06-23","2021-06-18"
"36","USGS-08294210","17866820","1993-06-23","2021-06-18"
"37","USGS-08405105","22458323","1985-04-11","2021-08-07"
"38","USGS-08477000","17703765","1984-06-14","2019-07-07"
"39","USGS-09279100","11981283","1990-07-26","2010-07-26"
"40","USGS-09383400","20585814","2001-05-29","2021-05-29"
"41","USGS-09383430","20584970","1992-05-04","2021-05-29"
"42","USGS-09383500","20585806","2001-05-29","2021-05-29"
"43","USGS-09383570","20585752","2001-05-29","2021-05-29"
"44","USGS-09414900","4916220","1984-07-05","2016-07-26"
"45","USGS-09430600","2430436","1985-07-21","2021-04-28"
"46","USGS-09444200","21355827","1984-04-23","2021-05-29"
"47","USGS-09484000","15893872","1985-07-15","2013-06-17"
"48","USGS-09489100","20493981","1986-05-04","2021-05-29"
"49","USGS-09489500","20498017","1984-05-15","2021-05-29"
"50","USGS-09490500","20492935","1984-05-15","2021-05-29"
"51","USGS-09496000","21733718","1985-09-25","2012-06-18"
"52","USGS-09496500","21735362","1985-09-25","2012-06-18"
"53","USGS-09497700","22437720","1985-09-25","2012-06-18"
"54","USGS-09497800","22440644","1985-09-25","2012-06-18"
"55","USGS-09508300","20437386","1994-06-24","2014-06-24"
"56","USGS-10146000","10330245","1997-07-19","2017-07-19"
"57","USGS-10148500","10350308","1991-07-02","2020-07-18"
"58","USGS-10150500","10349360","1991-07-02","2020-07-18"
"59","USGS-10152000","10348948","1984-09-10","2020-07-18"
"60","USGS-10256000","948100222","1985-08-04","2016-07-09"
"61","USGS-10257600","22590267","1985-08-04","2016-07-09"
"62","USGS-10260500","22660265","1984-07-03","2017-10-22"
"63","USGS-10260950","22660257","1989-07-06","2017-10-22"
"64","USGS-10261000","22658299","1989-07-06","2017-10-22"
"65","USGS-10261100","22660039","1984-07-03","2017-10-22"
"66","USGS-10264000","22681934","1984-06-25","2019-08-26"
"67","USGS-10264600","22673704","1997-06-24","2021-09-04"
"68","USGS-10311200","8919959","1994-07-14","2014-07-14"
"69","USGS-103366097","8943673","1997-06-23","2017-06-23"
"70","USGS-10390000","24026288","1986-08-12","2017-08-14"
"71","USGS-11054000","22556090","1995-10-05","2016-08-29"
"72","USGS-11062000","22554826","1987-08-13","2019-10-03"
"73","USGS-11062001","22554826","1987-08-13","2019-10-03"
"74","USGS-11063500","22557742","1992-06-26","2019-10-03"
"75","USGS-11073300","22557914","1992-09-22","2013-10-25"
"76","USGS-11073470","22555310","1993-10-21","2013-10-25"
"77","USGS-11080500","22522855","1987-08-13","2013-10-25"
"78","USGS-11082000","22524649","1986-06-29","2019-08-26"
"79","USGS-11084500","22524697","1987-07-01","2007-07-01"
"80","USGS-11085000","22524845","1986-06-29","2019-08-26"
"81","USGS-11094000","22514414","1999-08-26","2019-08-26"
"82","USGS-11098000","22514774","1999-08-26","2019-08-26"
"83","USGS-11100000","22514894","1999-08-26","2019-08-26"
"84","USGS-11109525","24858039","1992-06-01","2017-05-19"
"85","USGS-11109600","17572335","1986-07-11","2017-10-20"
"86","USGS-11109800","17575859","1986-07-11","2017-10-20"
"87","USGS-11110500","17574757","1987-08-05","2013-10-23"
"88","USGS-11111500","17567911","1992-06-01","2017-07-04"
"89","USGS-11113000","17574345","1986-04-28","2017-07-04"
"90","USGS-11113500","17573647","1986-04-28","2016-09-04"
"91","USGS-11114495","17585808","1992-06-23","2017-07-04"
"92","USGS-11114500","17587578","1992-06-23","2017-07-04"
"93","USGS-11115500","17586470","1992-06-23","2017-07-04"
"94","USGS-11116550","17586538","1992-06-23","2017-07-04"
"95","USGS-11117500","17586842","1989-12-21","2009-12-21"
"96","USGS-11118500","948070372","1989-12-21","2017-07-04"
"97","USGS-11119745","17595453","1998-11-13","2019-05-05"
"98","USGS-11119750","17595453","1998-11-13","2019-05-05"
"99","USGS-11119780","17596153","1999-05-05","2019-05-05"
"100","USGS-11119940","17596111","1999-05-05","2019-05-05"
"101","USGS-11120000","17595429","1999-05-05","2019-05-05"
"102","USGS-11123000","17610919","1984-06-01","2017-07-04"
"103","USGS-11123500","17611449","1984-06-01","2019-05-05"
"104","USGS-11124500","17611425","1990-01-08","2017-07-04"
"105","USGS-11126000","17610189","1984-06-01","2019-05-05"
"106","USGS-11128500","17609015","1984-06-01","2019-05-05"
"107","USGS-11138500","17625379","1986-07-03","2019-08-08"
"108","USGS-11139000","17624669","1989-07-18","2019-08-08"
"109","USGS-11139500","17625369","1999-08-08","2019-08-08"
"110","USGS-11141280","8193647","1984-08-14","2004-08-14"
"111","USGS-11141500","8193677","1984-08-14","2012-10-30"
"112","USGS-11143000","8189809","1986-10-18","2018-06-21"
"113","USGS-11143200","17600477","1989-09-09","2018-06-21"
"114","USGS-11145000","8214345","1986-08-15","2020-08-21"
"115","USGS-11148900","8209965","1986-05-28","2018-09-27"
"116","USGS-11149900","8210533","1986-05-28","2018-09-27"
"117","USGS-11151870","8203373","1989-09-09","2018-06-21"
"118","USGS-11152000","8205291","1989-09-09","2018-06-21"
"119","USGS-11152050","8205489","1989-09-09","2018-06-21"
"120","USGS-11153470","17662343","1992-09-23","2012-09-23"
"121","USGS-11169800","17694891","1997-09-03","2018-11-22"
"122","USGS-11172945","2809681","1994-08-08","2014-08-08"
"123","USGS-11173200","2809859","1984-11-14","2014-08-08"
"124","USGS-11173500","2807009","1984-11-14","2014-08-08"
"125","USGS-11173510","2806979","1984-11-14","2014-08-08"
"126","USGS-11173575","2806865","1984-11-14","2014-08-08"
"127","USGS-11176000","2806597","1993-08-27","2013-08-27"
"128","USGS-11176400","2806807","1984-10-13","2017-09-03"
"129","USGS-11176500","2808553","1984-10-13","2017-09-03"
"130","USGS-11176600","2806459","1984-10-13","2017-09-03"
"131","USGS-11179000","2806725","1984-10-13","2017-09-03"
"132","USGS-11180700","2804967","1984-10-13","2017-09-03"
"133","USGS-11200800","14934716","1992-07-21","2012-07-21"
"134","USGS-11202000","14930339","1994-08-12","2014-08-12"
"135","USGS-11202710","14930363","1994-08-12","2014-08-12"
"136","USGS-11203220","14930547","1987-09-24","2014-08-12"
"137","USGS-11203580","14930711","1986-08-18","2006-08-18"
"138","USGS-11204100","14930789","1986-08-18","2017-07-06"
"139","USGS-11204500","14930723","1986-08-18","2018-08-26"
"140","USGS-11208000","14917987","1998-09-10","2018-09-10"
"141","USGS-11208600","14922147","1985-10-11","2018-09-10"
"142","USGS-11209900","14922321","1985-10-11","2018-09-10"
"143","USGS-11238500","17116205","1984-08-24","2004-08-24"
"144","USGS-11238600","17116559","1984-08-24","2004-08-24"
"145","USGS-11242000","17115703","1984-08-24","2004-08-24"
"146","USGS-11246700","17115743","1984-08-24","2016-09-01"
"147","USGS-11247000","17115867","1984-08-24","2016-09-01"
"148","USGS-11251000","19791955","1984-08-24","2016-09-01"
"149","USGS-11268000","21610027","1989-07-11","2021-08-25"
"150","USGS-11268001","21610027","1989-07-11","2021-08-25"
"151","USGS-11274500","2828012","1984-10-13","2017-09-03"
"152","USGS-11281000","17078519","1986-08-14","2021-09-13"
"153","USGS-11282000","17078467","1986-08-14","2020-07-25"
"154","USGS-11283500","17078183","1986-08-14","2013-07-20"
"155","USGS-11308000","17066690","1986-08-12","2011-08-18"
"156","USGS-11371000","2782657","1989-08-23","2018-06-22"
"157","USGS-11372000","2495296","1988-09-30","2018-06-22"
"158","USGS-11375700","2800225","1998-06-21","2018-06-21"
"159","USGS-11381500","8019544","1984-09-18","2018-06-21"
"160","USGS-11382000","12074976","1984-08-27","2018-06-21"
"161","USGS-11383500","8020924","1984-09-18","2018-06-21"
"162","USGS-11388000","12074518","1986-08-11","2014-01-15"
"163","USGS-11388500","12073156","1986-08-11","2014-01-15"
"164","USGS-11394500","8037183","1984-08-16","2018-06-22"
"165","USGS-11395200","8037383","1989-08-23","2009-08-23"
"166","USGS-11396200","8037545","1989-08-23","2009-08-23"
"167","USGS-11396350","8038141","1989-08-23","2009-08-23"
"168","USGS-11404300","2775564","1989-08-23","2009-08-23"
"169","USGS-11427700","14992381","1991-08-25","2011-08-25"
"170","USGS-11427750","14992381","1991-08-25","2011-08-25"
"171","USGS-11433100","14992999","1991-08-25","2011-08-25"
"172","USGS-11433260","14993059","1991-08-25","2018-06-21"
"173","USGS-11449100","8006559","1986-12-03","2017-01-31"
"174","USGS-11451100","8005975","1986-08-11","2006-08-11"
"175","USGS-11453500","8015823","1990-11-02","2014-09-03"
"176","USGS-11454000","15033009","1989-10-16","2014-10-10"
"177","USGS-11458500","948050091","1986-08-02","2006-08-02"
"178","USGS-11461000","8269099","1998-07-04","2018-07-04"
"179","USGS-11463170","8271917","1994-09-03","2014-09-03"
"180","USGS-11463900","8272605","1994-09-03","2014-09-03"
"181","USGS-11470500","8309952","1986-08-11","2018-06-21"
"182","USGS-11471500","8307546","1986-08-11","2018-06-21"
"183","USGS-11472150","8303456","1986-08-11","2018-06-21"
"184","USGS-11472900","8294911","1993-09-28","2016-07-24"
"185","USGS-11473900","8295207","1993-09-28","2018-07-04"
"186","USGS-11474500","2709327","1998-06-21","2018-07-05"
"187","USGS-11475000","2706571","1986-08-11","2018-07-05"
"188","USGS-11480390","8320019","1998-06-21","2021-09-23"
"189","USGS-11480410","8319981","1990-10-07","2021-09-23"
"190","USGS-11480500","8319947","1990-10-07","2021-09-23"
"191","USGS-11525600","8246438","1998-06-21","2019-08-12"
"192","USGS-11525630","8245864","1989-07-02","2019-08-12"
"193","USGS-11526500","8244332","1996-09-02","2018-06-21"
"194","USGS-12332000","24310031","1990-07-31","2021-08-28"
"195","USGS-12338300","22913128","1991-09-26","2017-07-15"
"196","USGS-12343400","24320624","1990-07-23","2021-08-28"
"197","USGS-12346500","24320996","1990-07-23","2021-08-28"
"198","USGS-12374250","24357005","1997-07-31","2017-07-31"
"199","USGS-12381400","24356091","1993-08-09","2017-08-03"
"200","USGS-12433542","23022044","1995-04-15","2015-04-15"
"201","USGS-12434110","23053369","1991-08-13","2015-08-06"
"202","USGS-12447390","24384943","1993-06-30","2013-06-30"
"203","USGS-12448000","24383027","1984-07-24","2016-07-24"
"204","USGS-12448998","24383787","1984-07-25","2004-07-25"
"205","USGS-12452890","23208194","1984-07-24","2004-07-24"
"206","USGS-12452990","23207982","1984-07-24","2020-07-10"
"207","USGS-13010065","23123539","1990-08-15","2010-08-15"
"208","USGS-13011000","23123437","1990-08-15","2019-09-02"
"209","USGS-13011500","23123373","1990-08-09","2020-08-19"
"210","USGS-13148500","23266994","1997-08-16","2017-08-16"
"211","USGS-13239000","24177467","1984-08-02","2017-07-06"
"212","USGS-13306385","23503302","1990-07-10","2010-07-10"
"213","USGS-13306500","23503080","1990-07-10","2021-08-25"
"214","USGS-13308500","23519453","1988-08-23","2020-08-20"
"215","USGS-13310700","23551284","1984-08-08","2017-07-17"
"216","USGS-13313000","23551584","1984-08-08","2017-07-17"
"217","USGS-14017000","23638208","1995-08-05","2020-08-26"
"218","USGS-14037500","23822637","1986-07-26","2006-07-26"
"219","USGS-14075000","23700309","2000-08-02","2020-08-02"
"220","USGS-14088000","23700239","1992-07-23","2021-08-28"
"221","USGS-14090350","23700171","1986-07-08","2017-07-12"
"222","USGS-14090400","23700121","1994-10-18","2017-07-12"
"223","USGS-14091500","23700105","1986-07-08","2021-08-28"
"224","USGS-14092750","23719653","1991-08-12","2017-07-12"
"225","USGS-14092885","23719633","1986-08-10","2021-08-24"
"226","USGS-14093000","23719623","1984-07-25","2021-08-24"
"227","USGS-14096300","23719531","1991-08-12","2020-08-19"
"228","USGS-14179000","23780701","2000-08-19","2020-08-19"
"229","USGS-14181500","23780511","1993-08-19","2020-08-19"
"230","USGS-14181900","23780851","2001-08-26","2021-08-26"
"231","USGS-14182500","23780805","2001-08-26","2021-08-26"
"232","USGS-14183000","23780481","1993-08-19","2021-08-26"
"233","USGS-14184100","23780883","1993-08-19","2021-08-26"
"234","USGS-14316495","23894558","1986-08-13","2018-08-17"
"235","USGS-14333500","23923600","1998-08-16","2018-08-16"
"236","USGS-14337800","23923890","1992-07-13","2012-07-13"
"237","USGS-14338000","23923878","1992-07-13","2012-07-13"
"238","USGS-14375500","23945177","1992-07-13","2012-07-13"
"239","USGS-14378200","23944933","1984-07-21","2020-08-13"
"240","USGS-14400000","23949601","1992-07-13","2012-07-13"
